problem_code,solved_count
1A,50062
4A,49914
71A,37106
158A,32364
118A,30197
50A,27543
231A,26523
282A,24753
96A,22729
112A,21616
339A,21464
158B,21322
116A,20000
266A,19584
131A,19026
281A,18930
133A,18382
160A,18123
58A,17822
122A,17747
263A,17603
236A,17133
546A,16369
467A,16248
110A,15683
266B,15485
148A,15431
69A,15324
271A,15095
337A,15003
41A,14810
136A,14646
580A,14491
479A,14245
486A,13752
208A,13487
451A,13386
472A,13134
144A,13037
82A,12980
469A,12947
318A,12581
617A,12576
460A,12570
379A,12495
61A,12433
344A,12178
268A,12087
500A,11984
119A,11979
443A,11818
510A,11712
25A,11700
228A,11623
520A,11289
405A,11268
141A,11238
339B,11191
59A,11154
230A,10950
466A,10852
455A,10713
492A,10606
492B,10471
313A,10353
155A,10328
723A,10262
581A,10258
584A,10230
705A,10170
200B,10107
750A,10077
677A,10060
734A,10058
478A,10053
540A,9980
189A,9892
732A,9773
268B,9681
432A,9616
711A,9594
509A,9587
4C,9541
519B,9467
427A,9445
327A,9438
703A,9429
577A,9374
707A,9370
476A,9316
448A,9314
579A,9289
490A,9289
474A,9274
588A,9264
556A,9240
513A,9227
599A,9209
149A,9181
519A,9176
270A,9112
489C,8976
467B,8964
716A,8942
758A,8855
567A,8823
439A,8777
230B,8748
459A,8731
459B,8629
474B,8626
515A,8602
514A,8488
489B,8480
721A,8424
237A,8415
570A,8379
734B,8374
701A,8367
733A,8348
621A,8232
456A,8231
478B,8205
785A,8092
551A,8080
749A,8074
471A,8070
349A,8059
37A,8001
742A,7982
499B,7973
719A,7971
791A,7966
124A,7956
560A,7946
527A,7938
583A,7916
313B,7897
118B,7865
550A,7855
520B,7781
732B,7747
615A,7734
706B,7725
461A,7700
507A,7689
688B,7667
659A,7667
151A,7637
706A,7625
330A,7625
1B,7609
611A,7576
731A,7561
686A,7560
651A,7541
214A,7541
441A,7539
688A,7487
431A,7408
368B,7406
451B,7388
519C,7359
454A,7341
675A,7286
515C,7250
764A,7233
630A,7215
466C,7198
479C,7145
378A,7141
761A,7139
552B,7126
681A,7110
572A,7068
450A,7053
591A,7030
462A,7010
676A,6975
255A,6972
546B,6969
670A,6919
766A,6918
115A,6906
501A,6905
276A,6885
401A,6883
573A,6882
672A,6875
598A,6875
570B,6872
746A,6846
545D,6788
363B,6775
697A,6768
385A,6756
535A,6754
680A,6748
463B,6748
384A,6748
545A,6743
496A,6742
733B,6732
320A,6730
702A,6717
595A,6690
334A,6680
757A,6666
610A,6647
