handle,112A,281A,148A,136A,268A,228A,492A,677A,707A,490A,758A,734B,749A,560A,507A,731A,451B,552B,670A,570B,702A,766B,352A,764B,586A,262A,549A,2A,707B,604A,165A,596B,84A,559A,682B,139A,805B,629B,489A,779C,633A,669A,620B,287A,294A,340A,361A,569B,368A,220A,259A,248A,631B,242B,510C,605A,27A,670C,667A,359A,441C,670D1,358A,441B,155B,131C,778A,572B,47A,667B,81A,102B,126B,282C,194A,769A,253B,356A,371C,245B,369B,424B,599C,685A,172A,746D,615B,103A,121A,733D,222B,136B,623A,185A,225C,106B,551B,219C,337C,32A,376B,535C,607B,197A,234A,5B,622C,269B,632A,8A,220B,581D,297B,400C,152B,226A,700A,10A,708B,159A,793B,696B,301A,23A,88A,600C,599D,629D,25D,160C,615D,201A,87A,106C,373B,148C,700B,55A,374A,173A,260C,61D,399A,305B,570D,30A,61E,263D,665A,99B,401D,222D,85A,769D,729E,464B,792C,730B,141C,621E,180F,7B,75B,174A,51A,598C,576B,533B,492E,630E,46C,65A,95A,348B,258B,490E,382B,675E,520E,632D,172D,181B,444C,76E,333D,222C,653D,411C,372C,335B,243B,263C,542C,36B,793C,296B,321E,567E,84C,601C,731E,260D,518E,754C,398A,138B,396C,145E,620D,524E,706E,37C,311B,734F,786C,93B,391A,174C,303C,81D,328B,392A,528D,501E,196C,178D1,509F,341D,163C,132D,69C,126D,76A,730D,316C1,44J,216E,266D,147B,248D,633F,313E,283D,342D,653F,254E,480D,293B,286E,421D,513E1,526F,431E,178F1,585E,178C3,391B,177F1,739E,413E,178D2,754E,778D,698D,257E,238E,388D,794F,98D,238D,346E,472E,475F,128E,391F3
nathanajah,S,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,S,-,S,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,A,-,-,-,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,S,S,S,-,-,-,-,-,-,-,S,-,-,-,S,-,-,-,-,-,-,S,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,S,-,-,-,-,-,A,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,S,-,-,A,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jonathanirvings,-,S,S,S,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,S,-,-,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,S,-,-,S,S,S,-,S,-,-,S,-,-,-,-,S,-,S,S,-,S,S,S,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,S,-,S,-,-,S,S,S,-,-,-,-,-,-,-,-,-,S,-,S,-,S,S,-,S,-,S,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,A,-,-,-,-,-,A,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
azariamuh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dolphinigle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,S,-,-,-,-,S,-,-,-,-,-,-,-,S,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,S,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,S,-,-,-,S,-,-,-,S,-,-,-,S,-,-,-,-,-,S,-,-,S,S,-,S,-,-,S,-,-,-,S,-,-,-,-,-,-,-,-,-,S,-,-,-,-,S,-,S,-,-,-,-,S,-,-,-,-,-,-,-,A,-,-,-,A,A,-
ayaze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,S,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rais.fathin38,-,-,-,S,S,S,S,-,-,S,-,S,S,-,-,-,S,S,-,-,-,-,-,-,-,S,S,-,-,-,-,S,-,S,-,-,-,-,S,-,-,-,-,-,-,S,-,S,-,S,S,-,-,S,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,-,-,S,S,-,-,S,-,-,S,S,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,A,-,-,-,-,-,S,-,-,-,-,-,-,-,-,S,-,S,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,A,-,-,S,-,-,S,-,-,-,-,S,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,S,S,S,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
trivial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,S,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sokokaleb,S,S,S,S,S,S,-,S,-,-,-,-,-,-,S,S,S,S,S,S,-,-,-,-,-,-,S,-,-,-,-,-,-,S,-,-,-,-,-,-,S,-,-,-,S,-,-,-,-,S,-,-,-,S,-,S,-,S,-,-,-,S,-,-,S,S,S,-,-,-,-,-,A,S,S,-,S,-,-,-,A,-,-,S,-,-,-,-,-,S,S,S,S,S,S,-,-,S,-,-,-,-,S,-,-,-,-,-,-,-,S,-,-,-,S,S,A,-,S,-,S,S,-,-,-,-,-,-,-,S,-,-,-,-,-,A,S,-,S,S,S,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,S,-,-,-,-,-,-,S,-,-,-,A,S,-,-,-,-,-,S,-,A,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,A,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-
Prabowo,-,-,-,-,-,S,-,-,-,S,-,-,-,-,-,-,-,-,-,S,-,-,S,-,S,-,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,S,-,-,S,S,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,S,-,S,-,S,-,-,-,S,-,S,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-,-,A,-,-,-,-,-,-,-,S,-,-,-,S,-,-,-,-,-,-,-,-,S,-,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wifi,-,-,-,-,-,-,-,-,S,-,-,-,-,S,S,S,-,S,-,-,S,-,-,S,-,-,S,-,S,-,-,-,-,S,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,-,-,-,S,-,-,-,-,-,-,-,-,S,-,S,-,A,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,S,-,S,-,-,-,S,-,S,-,S,-,-,-,S,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-
