handle;current_rating;max_rating
nathanajah;2408;2408
jonathanirvings;2406;2450
azariamuh;2346;2346
dolphinigle;2336;2507
ayaze;2305;2305
rais.fathin38;2289;2289
trivial;2252;2252
sokokaleb;2196;2407
Prabowo;2222;2222
wifi;2159;2258
Gyosh;2168;2175
athin;2193;2275
ptrrsn_1;2131;2211
fushar;2052;2219
zeulb;2124;2362
aguss787;2122;2130
azaky;2092;2385
chaotic_iak;2072;2200
handojo1;2058;2129
cfmode;2055;2055
tjandra;2047;2085
farisv;2039;2104
anthonyhkf;2037;2118
kadalbonek;1992;2149
V-Sat;2002;2002
makanbeling;1988;1988
felix_halim;1964;2011
dancinggrass;1958;1969
nasgor_portugal;1957;1957
setiadialvin;1946;2017
M_W;1945;1945
Leonspirit;1934;1934
inasnuha;1929;1929
kadalijo;1925;2012
suhendry;1921;2072
JackyWijaya;1905;1905
irwan_ap;1898;1999
DigiM;1896;1955
raditya1710;1891;1919
pc1ang;1883;1883
goldwin;1865;1865
dotato;1852;1852
afaji321;1940;2034
Klungs;1926;1980
DeimonDB;1836;1965
alvinpiter;1832;1832
firmanhp;1825;1934
Yehezkiel;1814;1884
EternalKevin;1800;1800
jellygendut;1800;1800
Shadz07;1788;1788
arkidd;1786;1921
lintao;1783;1783
stevenwjy;1776;1776
apakaden;1759;1896
zerosequence;1753;1793
kokki100;1746;1746
Ariza;1745;1781
turuthok;1740;1872
Darkstalker;1738;1834
opel_howard;1738;1785
rickychandra;1734;1753
gflyingcat;1734;1871
whyzker;1732;1874
frznlich;1730;1730
adytp;1721;1830
.vince;1813;1813
sicasli;1719;1828
darksta5;1719;1774
semicfly;1718;2023
liegunawan;1715;1715
SandyKarunia;1713;1964
freedomofkeima;1703;1750
setsuna91;1700;1700
ichabuncaca;1700;1700
sebastianmualim;1699;1715
IvanLuber;1697;1715
KodokBengis;1693;1693
GklolosK;1687;1834
imiro;1685;1722
wahyudierwin;1685;1731
codebie;1679;1944
farizazmip;1678;1867
Hunkishi;1669;1787
escepta;1769;1950
rafaelherman;1667;1709
nurhidayat;1666;1706
dennisdaslim;1664;1801
ferama;1661;1661
alifradityar;1659;1659
wynnew;1659;1746
alijaya;1656;1667
Sn1p3r5;1656;1696
ohyeah;1653;1701
AlphaRazra;1649;1649
Vesuvius;1645;1788
KFile;1644;1831
simonsyd;1644;1644
putrasattvika;1641;1734
_malioboro;1637;1750
welly_91;1635;1691
wawando;1632;1720
windorock;1628;1628
r.i;1560;1875
NangisDarah;1626;1717
VinYap;1624;1708
groawrr;1624;1868
yafithekid;1623;1693
anton.ong;1623;1623
math_mania;1621;1621
sergiovieri;1756;1756
vincentsthe;1617;1617
fendy_k1;1615;1712
CyberKasumi;1615;1748
nathanchrs;1608;1621
monyet;1604;1604
Ferro;1600;1600
Jauhar;1600;1691
dr41n;1597;1597
phebhex;1597;1666
VotBear;1593;1664
axe7;1585;1585
leecopper15;1584;1584
esam091;1575;1582
Fairuzi10;1574;1604
BersinSepatu;1572;1807
coderbodoh;1572;1845
ericleoo;1571;1581
brogramming;1570;1659
dragunovic;1568;1707
frigatewall1;1566;1566
Azurey;1561;1561
uptimist;1560;1560
huuo_l;1558;1564
korabum;1557;1557
lguiel;1557;1557
nawa410;1557;1691
imzaziraf;1556;1773
fonmagnus;1554;1700
nah_ok;1553;1553
tehkesih;1551;1551
rkkautsar;1549;1653
starpiece_v3;1547;1630
zulkan;1546;1662
fajrinazis;1541;1836
karstenaa;1540;1579
YA_;1540;1630
indraep;1539;1733
FelixP;1537;1664
guspra;1530;1530
jonathanwoenardi;1529;1550
salvianreynaldi;1527;1620
winardi;1524;1715
convyusboy;1523;1622
nandarustam;1451;1655
putramuttaqin;1519;1519
leogzl;1518;1726
